병원명,종별코드,종별코드명,시도명,시군구명,읍면동명,우편번호,주소,전화번호,개설일자,경도,위도,수거약품목
청담약국,81,약국,충남,천안서북구,불당동,31156,충청남도 천안시 서북구 불당33길 22 고은타워 (불당동),041-555-3206,20190201,127.1081329,36.8119601,신경계
아이미소약국,81,약국,충남,천안서북구,불당동,31156,충청남도 천안시 서북구 불당33길 1 103-2호 (불당동),041-558-3351,20190401,127.1069713,36.810453,"신경계, 건강기능식품, 안이비인후과용"
용암약국,81,약국,충남,천안서북구,쌍용동,31166,충청남도 천안시 서북구 월봉로 134 (쌍용동 리치프라자),070-4240-7098,20161107,127.1191325,36.8025838,"진통제, 해열제, 건강기능식품"
신불당하나로약국,81,약국,충남,천안서북구,불당동,31156,충청남도 천안시 서북구 불당25로 200 (불당동 천안농협),041-569-1234,20170919,127.109134,36.8188843,"진통제, 외용제, 해열제"
365열린약국,81,약국,충남,천안서북구,성정동,31109,충청남도 천안시 서북구 쌍용대로 348 102호 (성정동),041-555-2968,20191001,127.1380234,36.8283783,소염제
쌍용청솔약국,81,약국,충남,천안서북구,쌍용동,31173,충청남도 천안시 서북구 불당대로 260 2층 216-2호 (쌍용동),041-577-4566,20211001,127.1245364,36.799774,안이비인후과용
입장백약국,81,약국,충남,천안서북구,입장면,31055,충청남도 천안시 서북구 입장면 입장로 128 1층,041-582-7540,20220325,127.2221116,36.9124857,"항생제, 호흡기계, 안이비인후과용"
더맑은약국,81,약국,충남,천안서북구,,31156,충청남도 천안시 서북구 불당21로 65 108호 (불당동),041-907-7347,20220502,127.1073927,36.8130782,소화제
대은약국,81,약국,충남,천안서북구,성정동,31109,충청남도 천안시 서북구 동서대로 129 101호 (성정동 아이엠빌딩),041-562-1134,20110930,127.1378027,36.8262114,"진통제, 항생제, 해열제"
6단지약국,81,약국,충남,천안서북구,성정동,31134,충청남도 천안시 서북구 쌍용대로 292 금정빌딩 1층 (성정동),041-592-6800,20220420,127.1371417,36.8233613,"해열제, 신경계"
청춘약국,81,약국,충남,천안서북구,불당동,31156,충청남도 천안시 서북구 불당25로 176 율곡스퀘어 144호145호 (불당동),041-566-7301,20190328,127.1091268,36.8162381,외용제
건강한이야기가있는다나약국,81,약국,충남,천안서북구,불당동,31156,충청남도 천안시 서북구 불당23로 70 정우프라자 117호 (불당동),041-417-5040,20180821,127.1088025,36.8176272,"호흡기계, 안이비인후과용, 건강기능식품"
참조은약국,81,약국,충남,천안서북구,쌍용동,31175,충청남도 천안시 서북구 충무로 172 (쌍용동),572-0002,20080501,127.1264606,36.7939998,"심혈관계, 내분비계, 호흡기계"
노블약국,81,약국,충남,천안서북구,성정동,31109,충청남도 천안시 서북구 성정공원1길 9-7 1층 (성정동),041-566-0766,20240130,,,"소화제, 심혈관계"
하나약국,81,약국,충남,천안서북구,불당동,31163,충청남도 천안시 서북구 검은들3길 46 110호 (불당동),041-569-3488,20190906,,,건강기능식품
봄약국,81,약국,충남,천안서북구,불당동,31156,충청남도 천안시 서북구 불당22대로 67 1층 106호 (불당동),041-566-4569,20190415,127.1065681,36.8165302,건강기능식품
에덴약국,81,약국,충남,천안서북구,성정동,31133,충청남도 천안시 서북구 쌍용대로 293 (성정동),041-579-5475,20110103,127.1364962,36.8235807,"신경계, 안이비인후과용"
두정구름약국,81,약국,충남,천안서북구,두정동,31103,충청남도 천안시 서북구 봉정로 356 1층 (두정동),,20240223,,,해열제
나나약국,81,약국,충남,천안서북구,쌍용동,31155,충청남도 천안시 서북구 미라15길 23 상가동 205호 (쌍용동 대우타워아파트),041-573-0027,20090609,127.132186,36.8069642,해열제
중앙약국,81,약국,충남,천안서북구,,31156,충청남도 천안시 서북구 불당21로 67-8 118호 (불당동),041-553-8934,20231016,,,"진통제, 신경계, 안이비인후과용"
성성진약국,81,약국,충남,천안서북구,성성동,31078,충청남도 천안시 서북구 성성8로 2-42 103호 (성성동),070-7542-3357,20240604,127.1286674,36.8401835,"안이비인후과용, 소화제, 신경계"
은하수약국,81,약국,충남,천안서북구,성거읍,31045,충청남도 천안시 서북구 성거읍 수청2길 21 1층 102호,041-903-9646,20240812,127.202261,36.8762726,"항생제, 진통제"
